equip,kind,token,class,source,unit,desc
entity:QNL_DX_B10,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B10,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B22,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level BMS Control Room DX Unit B/22 B
entity:QNL_DX_B22,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B22,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B22,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B12,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Security Store/Equipment Room D
entity:QNL_DX_B12,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B12,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,None,Setpoint
entity:QNL_DX_B12,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),None,Setpoint
entity:QNL_DX_B23,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Security Equipment Room DX Unit
entity:QNL_DX_B23,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B23,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B23,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B05,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level HV Room DX Unit B/05
entity:QNL_DX_B05,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B05,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B05,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B06,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level HV Room DX Unit B/06
entity:QNL_DX_B17,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Refrigerate Store DX Unit B/17 
entity:QNL_DX_B17,POINT/part,ChOverHrsSP.SP,para:Changeover_Hours_Setpoint,para (minted),Hrs,Setpoint
entity:QNL_DX_B17,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B17,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B17,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B18,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Refrigerate Store DX Unit B/18 
entity:QNL_DX_B19,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Refrigerate Store DX Unit B/19 
entity:QNL_DX_B21,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Roof Floor IDF & CPNL-00008 DX Unit RP/21
entity:QNL_DX_B24,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Roof Floor IDF & CPNL-00008 DX Unit RP/24
entity:QNL_HEX05,POINT/part,DiffPrs.PV,brick:Differential_Pressure_Sensor,Brick 1.4,kPa,Process Value
entity:QNL_HEX05,PART,IsoVlv,brick:Isolation_Valve,Dar Cairo,,isolation valve
entity:QNL_HEX05,POINT/part,IsoVlv.AutoManCmd,para:Auto_Manual_Command,para (minted),,Auto/Manual Command
entity:QNL_HEX05,POINT/part,IsoVlv.CloseSts,brick:Open_Close_Status,Brick 1.4,,QNL Chilled Water Heat Exchanger-05 Secondary Side
entity:QNL_HEX05,POINT/part,IsoVlv.OpenCmd,brick:Open_Close_Command,Brick 1.4,,QNL Chilled Water Heat Exchanger-05 Secondary Side
entity:QNL_HEX05,POINT/part,IsoVlv.OpenCmdSts,brick:Open_Close_Status,Brick 1.4,,Open/Close Command Status
entity:QNL_HEX05,POINT/part,IsoVlv.OpenSts,brick:Open_Close_Status,Brick 1.4,,QNL Chilled Water Heat Exchanger-05 Secondary Side
entity:QNL_HEX05,PART,MV,para:Modulating_Valve,para (minted),,modulating valve
entity:QNL_HEX05,POINT/part,MV.AutoManCmd,para:Auto_Manual_Command,para (minted),,Auto/Manual Command
entity:QNL_HEX05,POINT/part,MV.PosCmd,brick:Valve_Position_Command,Dar Cairo,%,QNL Chilled Water Heat Exchanger-05 Modulating Val
entity:QNL_HEX05,POINT/part,MV.PosFbk,brick:Valve_Position_Sensor,Dar Cairo,%,QNL Chilled Water Heat Exchanger-05 Modulating Val
entity:QNL_HEX05,POINT/part,PriRtnTemp.PV,para:Primary_Return_Temperature_Sensor,para (minted),°C,Process Value
entity:QNL_HEX05,POINT/part,SecRtnTemp.PV,para:Secondary_Return_Temperature_Sensor,para (minted),°C,Process Value
entity:QNL_HEX01,POINT/part,DiffPrs.PV,brick:Differential_Pressure_Sensor,Brick 1.4,kPa,Process Value
entity:QNL_HEX01,PART,IsoVlv,brick:Isolation_Valve,Dar Cairo,,isolation valve
entity:QNL_HEX01,POINT/part,IsoVlv.AutoManCmd,para:Auto_Manual_Command,para (minted),,Auto/Manual Command
entity:QNL_HEX01,POINT/part,IsoVlv.CloseSts,brick:Open_Close_Status,Brick 1.4,,QNL Chilled Water Heat Exchanger-01 Secondary Side
entity:QNL_HEX01,POINT/part,IsoVlv.OpenCmd,brick:Open_Close_Command,Brick 1.4,,QNL Chilled Water Heat Exchanger-01 Secondary Side
entity:QNL_HEX01,POINT/part,IsoVlv.OpenCmdSts,brick:Open_Close_Status,Brick 1.4,,Open/Close Command Status
entity:QNL_HEX01,POINT/part,IsoVlv.OpenSts,brick:Open_Close_Status,Brick 1.4,,QNL Chilled Water Heat Exchanger-01 Secondary Side
entity:QNL_HEX01,PART,MV,para:Modulating_Valve,para (minted),,modulating valve
entity:QNL_HEX01,POINT/part,MV.AutoManCmd,para:Auto_Manual_Command,para (minted),,Auto/Manual Command
entity:QNL_HEX01,POINT/part,MV.PosCmd,brick:Valve_Position_Command,Dar Cairo,%,QNL Chilled Water Heat Exchanger-01 Modulating Val
entity:QNL_HEX01,POINT/part,MV.PosFbk,brick:Valve_Position_Sensor,Dar Cairo,%,QNL Chilled Water Heat Exchanger-01 Modulating Val
entity:QNL_HEX01,POINT/part,PriRtnTemp.PV,para:Primary_Return_Temperature_Sensor,para (minted),°C,Process Value
entity:QNL_HEX01,POINT/part,SecRtnTemp.PV,para:Secondary_Return_Temperature_Sensor,para (minted),°C,Process Value
entity:QNL_HEX02,POINT/part,DiffPrs.PV,brick:Differential_Pressure_Sensor,Brick 1.4,kPa,Process Value
entity:QNL_HEX02,PART,IsoVlv,brick:Isolation_Valve,Dar Cairo,,isolation valve
entity:QNL_HEX02,POINT/part,IsoVlv.AutoManCmd,para:Auto_Manual_Command,para (minted),,Auto/Manual Command
entity:QNL_HEX02,POINT/part,IsoVlv.CloseSts,brick:Open_Close_Status,Brick 1.4,,QNL Chilled Water Heat Exchanger-02 Secondary Side
entity:QNL_HEX02,POINT/part,IsoVlv.OpenCmd,brick:Open_Close_Command,Brick 1.4,,QNL Chilled Water Heat Exchanger-02 Secondary Side
entity:QNL_HEX02,POINT/part,IsoVlv.OpenCmdSts,brick:Open_Close_Status,Brick 1.4,,Open/Close Command Status
entity:QNL_HEX02,POINT/part,IsoVlv.OpenSts,brick:Open_Close_Status,Brick 1.4,,QNL Chilled Water Heat Exchanger-02 Secondary Side
entity:QNL_HEX02,PART,MV,para:Modulating_Valve,para (minted),,modulating valve
entity:QNL_HEX02,POINT/part,MV.AutoManCmd,para:Auto_Manual_Command,para (minted),,Auto/Manual Command
entity:QNL_HEX02,POINT/part,MV.PosCmd,brick:Valve_Position_Command,Dar Cairo,%,QNL Chilled Water Heat Exchanger-02 Modulating Val
entity:QNL_HEX02,POINT/part,MV.PosFbk,brick:Valve_Position_Sensor,Dar Cairo,%,QNL Chilled Water Heat Exchanger-02 Modulating Val
entity:QNL_HEX02,POINT/part,PriRtnTemp.PV,para:Primary_Return_Temperature_Sensor,para (minted),°C,Process Value
entity:QNL_HEX02,POINT/part,SecRtnTemp.PV,para:Secondary_Return_Temperature_Sensor,para (minted),°C,Process Value
entity:QNL_HEX03,POINT/part,DiffPrs.PV,brick:Differential_Pressure_Sensor,Brick 1.4,kPa,Process Value
entity:QNL_HEX03,PART,IsoVlv,brick:Isolation_Valve,Dar Cairo,,isolation valve
entity:QNL_HEX03,POINT/part,IsoVlv.AutoManCmd,para:Auto_Manual_Command,para (minted),,Auto/Manual Command
entity:QNL_HEX03,POINT/part,IsoVlv.CloseSts,brick:Open_Close_Status,Brick 1.4,,QNL Chilled Water Heat Exchanger-03\n Secondary Si
entity:QNL_HEX03,POINT/part,IsoVlv.OpenCmd,brick:Open_Close_Command,Brick 1.4,,QNL Chilled Water Heat Exchanger-03\n Secondary Si
entity:QNL_HEX03,POINT/part,IsoVlv.OpenCmdSts,brick:Open_Close_Status,Brick 1.4,,Open/Close Command Status
entity:QNL_HEX03,POINT/part,IsoVlv.OpenSts,brick:Open_Close_Status,Brick 1.4,,QNL Chilled Water Heat Exchanger-03\n Secondary Si
entity:QNL_HEX03,PART,MV,para:Modulating_Valve,para (minted),,modulating valve
entity:QNL_HEX03,POINT/part,MV.AutoManCmd,para:Auto_Manual_Command,para (minted),,Auto/Manual Command
entity:QNL_HEX03,POINT/part,MV.PosCmd,brick:Valve_Position_Command,Dar Cairo,%,QNL Chilled Water Heat Exchanger-03\n Modulating V
entity:QNL_HEX03,POINT/part,MV.PosFbk,brick:Valve_Position_Sensor,Dar Cairo,%,QNL Chilled Water Heat Exchanger-03\n Modulating V
entity:QNL_HEX03,POINT/part,PriRtnTemp.PV,para:Primary_Return_Temperature_Sensor,para (minted),°C,Process Value
entity:QNL_HEX03,POINT/part,SecRtnTemp.PV,para:Secondary_Return_Temperature_Sensor,para (minted),°C,Process Value
entity:QNL_HEX04,POINT/part,DiffPrs.PV,brick:Differential_Pressure_Sensor,Brick 1.4,kPa,Process Value
entity:QNL_HEX04,PART,IsoVlv,brick:Isolation_Valve,Dar Cairo,,isolation valve
entity:QNL_HEX04,POINT/part,IsoVlv.AutoManCmd,para:Auto_Manual_Command,para (minted),,Auto/Manual Command
entity:QNL_HEX04,POINT/part,IsoVlv.CloseSts,brick:Open_Close_Status,Brick 1.4,,QNL Chilled Water Heat Exchanger-04 Secondary Side
entity:QNL_HEX04,POINT/part,IsoVlv.OpenCmd,brick:Open_Close_Command,Brick 1.4,,QNL Chilled Water Heat Exchanger-04 Secondary Side
entity:QNL_HEX04,POINT/part,IsoVlv.OpenCmdSts,brick:Open_Close_Status,Brick 1.4,,Open/Close Command Status
entity:QNL_HEX04,POINT/part,IsoVlv.OpenSts,brick:Open_Close_Status,Brick 1.4,,QNL Chilled Water Heat Exchanger-04 Secondary Side
entity:QNL_HEX04,PART,MV,para:Modulating_Valve,para (minted),,modulating valve
entity:QNL_HEX04,POINT/part,MV.AutoManCmd,para:Auto_Manual_Command,para (minted),,Auto/Manual Command
entity:QNL_HEX04,POINT/part,MV.PosCmd,brick:Valve_Position_Command,Dar Cairo,%,QNL Chilled Water Heat Exchanger-04 Modulating Val
entity:QNL_HEX04,POINT/part,MV.PosFbk,brick:Valve_Position_Sensor,Dar Cairo,%,QNL Chilled Water Heat Exchanger-04 Modulating Val
entity:QNL_HEX04,POINT/part,PriRtnTemp.PV,para:Primary_Return_Temperature_Sensor,para (minted),°C,Process Value
entity:QNL_HEX04,POINT/part,SecRtnTemp.PV,para:Secondary_Return_Temperature_Sensor,para (minted),°C,Process Value
entity:QNL_SEF_RP07,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Smoke Extract Fan Zone-B EF-RP07
entity:QNL_SEF_RP07,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP07,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Smoke Extract Fan Zone-B EF-RP07
entity:QNL_SEF_RP08,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Smoke Extract Fan Zone-B EF-RP08
entity:QNL_SEF_RP08,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP08,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Smoke Extract Fan Zone-B EF-RP08
entity:QNL_SEF_RP09,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Smoke Extract Fan Zone-B EF-RP09
entity:QNL_SEF_RP09,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP09,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Smoke Extract Fan Zone-B EF-RP09
entity:QNL_SEF_ZoneB,POINT,LocSts,para:Local_Status,para (minted),,QNL Smoke Extract Fan Zone-B
entity:QNL_SEF_ZoneB,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP04,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Smoke Extract Fan Zone-A EF-RP04
entity:QNL_SEF_RP04,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP04,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Smoke Extract Fan Zone-A EF-RP04
entity:QNL_SEF_RP05,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Smoke Extract Fan Zone-A EF-RP05
entity:QNL_SEF_RP05,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP05,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Smoke Extract Fan Zone-A EF-RP05
entity:QNL_SEF_RP06,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Smoke Extract Fan Zone-A EF-RP06
entity:QNL_SEF_RP06,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP06,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Smoke Extract Fan Zone-A EF-RP06
entity:QNL_SEF_ZoneA,POINT,LocSts,para:Local_Status,para (minted),,QNL Smoke Extract Fan Zone-A
entity:QNL_SEF_ZoneA,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP10,POINT,LocSts,para:Local_Status,para (minted),,QNL Smoke Extract Fan Zone-C EF/RP/10
entity:QNL_SEF_RP10,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Smoke Extract Fan Zone-C EF/RP/10
entity:QNL_SEF_RP10,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Smoke Extract Fan Zone-C EF/RP/10
entity:QNL_SEF_RP10,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Smoke Extract Fan Zone-C EF/RP/10
entity:QNL_SEF_ZoneC,POINT,LocSts,para:Local_Status,para (minted),,QNL Smoke Extract Fan Zone-C
entity:QNL_SEF_ZoneC,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP11,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Smoke Extract Fan Zone-C EF-RP11
entity:QNL_SEF_RP11,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP11,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Smoke Extract Fan Zone-C EF-RP11
entity:QNL_SEF_RP12,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Smoke Extract Fan Zone-C EF-RP12
entity:QNL_SEF_RP12,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,Start/Stop Command
entity:QNL_SEF_RP12,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Smoke Extract Fan Zone-C EF-RP12
entity:QNL_KEF_B019,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Kitchen Plant Room Exhaust Fan B.19
entity:QNL_KEF_B019,POINT,LocSts,para:Local_Status,para (minted),,QNL Kitchen Plant Room Exhaust Fan B.19
entity:QNL_KEF_B019,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Kitchen Plant Room Exhaust Fan B.19
entity:QNL_KEF_B019,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,Speed Feedback
entity:QNL_KEF_B019,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Kitchen Plant Room Exhaust Fan B.19
entity:QNL_KEF_B019,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Kitchen Plant Room Exhaust Fan B.19
entity:QNL_KEF_B019,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,kW,Power
entity:QNL_KEF_B04,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Kitchen Exhaust Fan B.04
entity:QNL_KEF_B04,POINT,LocSts,para:Local_Status,para (minted),,QNL Kitchen Exhaust Fan B.04
entity:QNL_KEF_B04,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Kitchen Exhaust Fan B.04
entity:QNL_KEF_B04,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Kitchen Exhaust Fan B.04
entity:QNL_KEF_B04,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Kitchen Exhaust Fan B.04
entity:QNL_KEF_B020,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Kitchen Dish Washer Hood Exhaust Fan B.20
entity:QNL_KEF_B020,POINT,LocSts,para:Local_Status,para (minted),,QNL Kitchen Dish Washer Hood Exhaust Fan B.20
entity:QNL_KEF_B020,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Kitchen Dish Washer Hood Exhaust Fan B.20
entity:QNL_KEF_B020,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Kitchen Dish Washer Hood Exhaust Fan B.20
entity:QNL_KEF_B020,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Kitchen Dish Washer Hood Exhaust Fan B.20
entity:QNL_KEF_101,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Kitchen Plant Room Kitchen Exhaust Transfer Fa
entity:QNL_KEF_101,POINT,LocSts,para:Local_Status,para (minted),,QNL Kitchen Plant Room Kitchen Exhaust Transfer Fa
entity:QNL_KEF_101,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Kitchen Plant Room Kitchen Exhaust Transfer Fa
entity:QNL_KEF_101,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,Speed Feedback
entity:QNL_KEF_101,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Kitchen Plant Room Kitchen Exhaust Transfer Fa
entity:QNL_KEF_101,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Kitchen Plant Room Kitchen Exhaust Transfer Fa
entity:QNL_KEF_101,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,kW,Power
entity:QNL_CHW_P01,POINT,AutoManSts,brick:Manual_Auto_Status,SSC,,QNL Chilled Water Pump 01 CHWP-B01
entity:QNL_CHW_P01,POINT,CalcEntryScheduledHrs,para:Scheduled_Maintenance_Hours,para (minted),Hrs,ScheduledPM Hours (Manual Entry)
entity:QNL_CHW_P01,POINT,CalcEntryUnscheduledHrs,para:Unscheduled_Outage_Hours,para (minted),Hrs,UnScheduled Outage Hours (Manual Entry)
entity:QNL_CHW_P01,POINT,LocSts,para:Local_Status,para (minted),,QNL Chilled Water Pump 01 CHWP-B01
entity:QNL_CHW_P01,POINT,RunSts,brick:Run_Status,Brick 1.4,,Pump Running Status
entity:QNL_CHW_P01,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,QNL Chilled Water Pump 01 CHWP-B01
entity:QNL_CHW_P01,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Chilled Water Pump 01 CHWP-B01
entity:QNL_CHW_P01,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_CHW_P01,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,%,Power
entity:QNL_CHW_P01,POINT,kWH,brick:Electrical_Energy_Usage_Sensor,Dar Cairo,kWh,Energy
entity:QNL_CHW_P02,POINT,AutoManSts,brick:Manual_Auto_Status,SSC,,QNL Chilled Water Pump 02 CHWP-B02
entity:QNL_CHW_P02,POINT,CalcEntryScheduledHrs,para:Scheduled_Maintenance_Hours,para (minted),Hrs,ScheduledPM Hours (Manual Entry)
entity:QNL_CHW_P02,POINT,CalcEntryUnscheduledHrs,para:Unscheduled_Outage_Hours,para (minted),Hrs,UnScheduled Outage Hours (Manual Entry)
entity:QNL_CHW_P02,POINT,LocSts,para:Local_Status,para (minted),,QNL Chilled Water Pump 02 CHWP-B02
entity:QNL_CHW_P02,POINT,RunSts,brick:Run_Status,Brick 1.4,,Pump Running Status
entity:QNL_CHW_P02,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,QNL Chilled Water Pump 02 CHWP-B02
entity:QNL_CHW_P02,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Chilled Water Pump 02 CHWP-B02
entity:QNL_CHW_P02,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_CHW_P02,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,%,Power
entity:QNL_CHW_P02,POINT,kWH,brick:Electrical_Energy_Usage_Sensor,Dar Cairo,kWh,Energy
entity:QNL_CHW_P03,POINT,AutoManSts,brick:Manual_Auto_Status,SSC,,QNL Chilled Water Pump 03 CHWP-B03
entity:QNL_CHW_P03,POINT,CalcEntryScheduledHrs,para:Scheduled_Maintenance_Hours,para (minted),Hrs,ScheduledPM Hours (Manual Entry)
entity:QNL_CHW_P03,POINT,CalcEntryUnscheduledHrs,para:Unscheduled_Outage_Hours,para (minted),Hrs,UnScheduled Outage Hours (Manual Entry)
entity:QNL_CHW_P03,POINT,LocSts,para:Local_Status,para (minted),,QNL Chilled Water Pump 03 CHWP-B03
entity:QNL_CHW_P03,POINT,RunSts,brick:Run_Status,Brick 1.4,,Pump Running Status
entity:QNL_CHW_P03,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,QNL Chilled Water Pump 03 CHWP-B03
entity:QNL_CHW_P03,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Chilled Water Pump 03 CHWP-B03
entity:QNL_CHW_P03,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_CHW_P03,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,%,Power
entity:QNL_CHW_P03,POINT,kWH,brick:Electrical_Energy_Usage_Sensor,Dar Cairo,kWh,Energy
entity:QNL_CHW_P04,POINT,AutoManSts,brick:Manual_Auto_Status,SSC,,QNL Chilled Water Pump 04 CHWP-B04
entity:QNL_CHW_P04,POINT,CalcEntryScheduledHrs,para:Scheduled_Maintenance_Hours,para (minted),hrs,ScheduledPM Hours (Manual Entry)
entity:QNL_CHW_P04,POINT,CalcEntryUnscheduledHrs,para:Unscheduled_Outage_Hours,para (minted),hrs,UnScheduled Outage Hours (Manual Entry)
entity:QNL_CHW_P04,POINT,LocSts,para:Local_Status,para (minted),,QNL Chilled Water Pump 04 CHWP-B04
entity:QNL_CHW_P04,POINT,RunSts,brick:Run_Status,Brick 1.4,,Pump Running Status
entity:QNL_CHW_P04,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,QNL Chilled Water Pump 04 CHWP-B04
entity:QNL_CHW_P04,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Chilled Water Pump 04 CHWP-B04
entity:QNL_CHW_P04,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_CHW_P04,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,%,Power
entity:QNL_CHW_P04,POINT,kWH,brick:Electrical_Energy_Usage_Sensor,Dar Cairo,kWh,Energy
entity:QNL_CHWPU_P01,POINT,CalcEntryScheduledHrs,para:Scheduled_Maintenance_Hours,para (minted),Hrs,ScheduledPM Hours (Manual Entry)
entity:QNL_CHWPU_P01,POINT,CalcEntryUnscheduledHrs,para:Unscheduled_Outage_Hours,para (minted),hrs,UnScheduled Outage Hours (Manual Entry)
entity:QNL_CHWPU_P01,POINT,RunSts,brick:Run_Status,Brick 1.4,,Pump Running Status
entity:QNL_ELEC_Gen,POINT,BattChrgSts,para:Battery_Charge_Status,para (minted),,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,CommAlm,brick:Communication_Loss_Alarm,SSC,,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,ECUSts,para:Engine_Control_Unit_Status,para (minted),,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,EngAutoManSts,brick:Manual_Auto_Status,SSC,,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,EngFailFbk,para:Engine_Fail_Status,para (minted),,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,EngManOvrSts,para:Engine_Manual_Override_Status,para (minted),,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,EngOilPrs,para:Oil_Pressure_Sensor,para (minted),bar,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,EngStartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,EngStartedFbk,para:Engine_Started_Status,para (minted),,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,FltRst,brick:Reset_Command,Brick 1.4,,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,Frequency,brick:Frequency_Sensor,Brick 1.4,Hz,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,GenReadySts,para:Generator_Ready_Status,para (minted),,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,LineCurrentL1,brick:Current_Sensor,Brick 1.4,A,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,LineCurrentL2,brick:Current_Sensor,Brick 1.4,A,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,LineCurrentL3,brick:Current_Sensor,Brick 1.4,A,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,LineVoltageL1,brick:Voltage_Sensor,Brick 1.4,V,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,LineVoltageL2,brick:Voltage_Sensor,Brick 1.4,V,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,LineVoltageL3,brick:Voltage_Sensor,Brick 1.4,V,QNL Basement Level Zone 1 Generator
entity:QNL_ELEC_Gen,POINT,MCBOnOffSts,brick:On_Off_Status,Dar Cairo,,QNL Basement Level Zone 1 Generator
